schema	table	field	codeset	label	description
vital	births	acn_hrtdis	standard4_yesno	Heart Disease	Congenital heart defects that cause cyanosis.
vital	births	acn_hrtmal	standard4_yesno	Heart Malformation	
vital	births	acn_hypos	standard4_yesno	Hypospadias	Incomplete closure of the male urethra resulting in the urethral meatus opening on the ventral surface of the penis. Includes: - First degree (on the glans ventral to the tip) - Second degree (in the coronal sulcus) - Third degree (on the penile shaft) 
vital	births	acn_limbred	standard4_yesno	Limb Reduction	Excluding congenital amputation and dwarfing syndromes, this is a complete or partial absence of a portion of an extremity, secondary to failure to develop.
vital	births	acn_malgen	standard4_yesno	Malformed Genitalia	
vital	births	acn_micro	standard4_yesno	Microcephalus	
vital	births	acn_muscle	standard4_yesno	Other Musculoskeletal / Integumental Anomalies	
vital	births	acn_musclelit		Other Musculoskeletal / Integumental Anomalies (Literal)	
vital	births	acn_nervous	standard4_yesno	Other Central Nervous System Anomalies	
vital	births	acn_nervouslit		Other Central Nervous System Anomalies (Literal)	
vital	births	acn_none	standard4_yesno	No Anomalies	
vital	births	acn_omphal	standard4_yesno	Omphalacele	A defect in the anterior abdominal wall, accompanied by herniation of some abdominal organs through a widened umbilical ring into the umbilical stalk. The defect is covered by a membrane (different from gastroschisis [see below]), although this sac may rupture. Also called exomphalos. Do not include umbilical hernia (completely covered by skin) in this category. Do not include Spina bifida occulta (a midline bony spinal defect without protrusion of the spinal cord or meninges). 
vital	births	acn_oth	standard4_yesno	Other Anomalies	
vital	births	acn_othlit		Other Anomalies (Literal)	
vital	births	acn_polydact	standard4_yesno	Polydactyly / Syndactyly / adactyly	
vital	births	acn_rectal	standard4_yesno	Rectal Atresia / Stenosis	
vital	births	acn_renal	standard4_yesno	Renal Agenesis	
vital	births	acn_spina	standard4_yesno	Spina Bifida / Meningocele	Spina bifida is herniation of the meninges and/or spinal cord tissue through a bony defect of spine closure. Meningomyelocele is herniation of meninges and spinal cord tissue. Meningocele (herniation of meninges without spinal cord tissue) should also be included in this category. Both open and closed (covered with skin) lesions should be included. Do not include Spina bifida occulta (a midline bony spinal defect without protrusion of the spinal cord or meninges).
vital	births	acn_tracheo	standard4_yesno	iTracheo - Esophageal Atresia	
vital	births	acn_urogen	standard4_yesno	Other Urogenital Anomalies	
vital	births	acn_urogenlit		Other Urogenital Anomalies (Literal)	
vital	births	alcohol	standard1_yesno	Alcohol Use	
vital	births	drink_wk		Actual Drinks per Week?	
vital	births	apgar_10		APGAR 10 Score	A systematic measure for evaluating the physical condition of the infant at specific intervals following birth.
vital	births	apgar_5		APGAR 5 Score	A systematic measure for evaluating the physical condition of the infant at specific intervals following birth.
vital	births	attendant	attendant	Attendant Type	
vital	births	birth_rco			Not used. All NULL.
vital	births	born_alive			Unclear. Most are 88.
vital	births	breastfeeding	standard2_yesno	Breastfeeding Planned	
vital	births	bth_order		Birth Order	The order born in the delivery, live born or fetal death (1st, 2nd, 3rd, 4th, 5th, 6th, 7th, etc.).
vital	births	bth_present			
vital	births	bth_route	route	Birth Route	Vaginal/spontaneous - Delivery of the entire fetus through the vagina by the natural force of labor with or without manual assistance from the delivery attendant. Vaginal/forceps - Delivery of the fetal head through the vagina by the application of obstetrical forceps to the fetal head. Vaginal/vacuum - Delivery of the fetal head through the vagina by the application of a vacuum cup or ventouse to the fetal head. Cesarean - Extraction of the fetus, placenta, and membranes through an incision in the maternal abdominal and uterine walls.
vital	births	lbs		Child's Birth Weight	Child's Birth Weight (Integer lbs Only 0-13)
vital	births	oz		Child's Birth Weight in Ounces	Child's Birth Weight (Integer Ounces Only 0-15)
vital	births	grams		Birth Weight in Grams	Birth Weight in Grams (300-6149)
vital	births	bthwt_unit	bthwt_unit	Grams or Pounds	Birth Weight Unit in Grams or Pounds (grams and lbs/oz fields all exist)
vital	births	bwt_grp	bwt_grp	Birth Weight Group	Baby's birthweight group- normal, low, or very low weight.
vital	births	cer_date		Certification Date	
vital	births	cer_da		Certification Day (1-31)	
vital	births	cer_mo		Certification Month (1-12)	
vital	births	cer_yr		Certification Year (4-digit)	
vital	births	certifier	attendant	Certifier Type	
vital	births	cld_abrplac	standard4_yesno	Abruption Placenta	
vital	births	cld_anesth	standard4_yesno	Anesthetic Complications	
vital	births	cld_antibiotic	standard4_yesno	Antibiotics during labor and delivery?	Includes antibacterial medications given systemically (intravenous or intramuscular) to the mother in the interval between the onset of labor and the actual delivery. Includes: Ampicillin Penicillin Clindamycin Erythromycin Gentamicin Cefataxine Ceftriaxone
vital	births	cld_aug	standard4_yesno	Delivery augmentation (use of pitocin)?	Stimulation of uterine contractions by drug or manipulative technique with the intent to reduce the time of delivery (i.e., after labor has begun).
vital	births	cld_bleed	standard4_yesno	Other Excessive Bleeding?	
vital	births	cld_cephpelv	standard4_yesno	Cephalopelvic Disproportion	
vital	births	cld_chorio	standard4_yesno	Chorioamnionitis (maternal infection)?	Clinical diagnosis of chorioamnionitis during labor made by the delivery attendant. Usually includes more than one of the following: fever, uterine tenderness and/or irritability, leukocytosis, or fetal tachycardia. Any recorded maternal temperature at or above 38C (100.4F).
vital	births	cld_cordpro	standard4_yesno	Cord Prolapse	
vital	births	cld_dysfunc	standard4_yesno	Dysfunctional Labor	
vital	births	cld_epi	standard4_yesno	epidermal anaesthesia??	Administration to the mother of a regional anesthetic to control the pain of labor. Delivery of the agent into a limited space with the distribution of the analgesic effect limited to the lower body.
vital	births	cld_febrile	standard4_yesno	Febrile (>100F or 38C)	
vital	births	cld_fetalintol	standard4_yesno	Fetal intolerance?	In-utero resuscitative measures, further fetal assessment, or operative delivery. Includes any of the following: - Maternal position change - Oxygen administration to the mother - Intravenous fluids administered to the mother - Amnioinfusion - Support of maternal blood pressure - Administration of uterine relaxing agents Further fetal assessment including any of the following: scalp pH, scalp stimulation, acoustic stimulation. Operative delivery to shorten time to delivery of the fetus such as forceps, vacuum, or cesarean delivery.
vital	births	cld_induc	standard4_yesno	Induced labor	Initiation of uterine contractions by medical and/or surgical means for the purpose of delivery before the spontaneous onset of labor (i.e., before labor has begun).
vital	births	cld_mecon	standard4_yesno	Meconium Moderate/Heavy	Staining of the amniotic fluid caused by passage of fetal bowel contents during labor and/or at delivery that is more than enough to cause a greenish color change of an otherwise clear fluid.
vital	births	cld_none	standard4_yesno	No Complications of Labor	
vital	births	cld_nonvert	standard4_yesno	None vertex (may be breech or other)?	
vital	births	cld_oth	standard4_yesno	Other Complications of Labor	
vital	births	cld_othlit		Other Complications of Labor (Literal)	
vital	births	cld_placprev	standard4_yesno	Placenta Previa	
vital	births	cld_seizures	standard4_yesno	Seizures During Labor	
vital	births	cld_steroid	standard4_yesno	Use of steroids during labor?	Steroids (glucocorticoids) for fetal lung maturation received by the mother before delivery. Includes: betamethasone, dexamethasone, or hydrocortisone specifically given to accelerate fetal lung maturation in anticipation of preterm delivery. Does not include steroid medication given to the mother as an antiinflammatory treatment before or after delivery.
vital	births	dat_concep		Conception Date	
vital	births	death_cert			
vital	births	death_date			
vital	births	death_match			
vital	births	drug_use	standard1_yesno	Drug Use	
vital	births	du_otc		Over The Counter Drug Use	
vital	births	du_other		Other Drug Use	
vital	births	du_otherlit		Other Drug Use (Literal)	
vital	births	du_prscr		Prescription Drug Use	
vital	births	fa_fname		Father's First Name	
vital	births	fa_mname		Father's Middle Name	
vital	births	fa_sname		Father's Surname	
vital	births	fa_xname		Father's Suffix	
vital	births	fa_ssn		Father's Social Security Number	
vital	births	fa_dob		Father's Date of Birth	
vital	births	fa_age		Father's Age	
vital	births	fa_age1	age_groups	Father's Age Group	
vital	births	fa_amind	standard4_yesno	Father is American Indian	
vital	births	fa_amindlit		Father American Indian Tribe	
vital	births	fa_asian	standard4_yesno	Father is Asian	
vital	births	fa_asianlit		Father Other Asian (Literal)	
vital	births	fa_asianoth	standard4_yesno	Father is Other Asian	
vital	births	fa_black	standard4_yesno	Father is Black	
vital	births	fa_bst	state	Father's Birth State	
vital	births	fa_bus	business		
vital	births	fa_busines1	business		
vital	births	fa_chinese	standard4_yesno	Father is Chinese	
vital	births	fa_cu	standard4_yesno	Father is Cuban	
vital	births	fa_edu	education	Father's Highest Education Level	
vital	births	fa_ethnic_nchs	ethnic_nchs		
vital	births	fa_ethoth	standard4_yesno		
vital	births	fa_ethothlit			
vital	births	fa_filipino	standard4_yesno	Father is Filipino	
vital	births	fa_guam	standard4_yesno	Father is Guamanian	
vital	births	fa_hawaiian	standard4_yesno	Father is Hawaiian	
vital	births	fa_his	standard4_yesno	Father is Hispanic	
vital	births	fa_husb	standard2_yesno	Father is Husband	
vital	births	fa_japanese	standard4_yesno	Father is Japanese	
vital	births	fa_korean	standard4_yesno	Father is Korean	
vital	births	fa_mex	standard4_yesno	Father is Mexican	
vital	births	fa_occ	occ		
vital	births	fa_occup1	occup		
vital	births	fa_pacisl	standard4_yesno	Father is Pacific Islander	
vital	births	fa_pacisllit		Father is Pacific Islander (Literal)	
vital	births	fa_pr	standard4_yesno	Father is Puerto Rican	
vital	births	fa_race1			
vital	births	fa_race16			
vital	births	fa_race17			
vital	births	fa_race18			
vital	births	fa_race19			
vital	births	fa_race2			
vital	births	fa_race20			
vital	births	fa_race22			
vital	births	fa_race3			
vital	births	fa_race4			
vital	births	fa_race5			
vital	births	fa_race6			
vital	births	fa_race7			
vital	births	fa_race8			
vital	births	fa_raceoth	standard4_yesno		
vital	births	fa_raceothlit			
vital	births	fa_raceref	standard4_yesno		
vital	births	fa_raceunk	standard4_yesno		
vital	births	fa_samoan	standard4_yesno	Father is Samoan	
vital	births	fa_signpat	standard3_yesno		
vital	births	fa_vietnamese	standard4_yesno	Father is Vietnamese	
vital	births	fa_white	standard4_yesno	Father is White	
vital	births	facility	facility	Birth Facility	The name of the facility where the delivery took place.
vital	births	fahisp_nchs	hisp_nchs		
vital	births	farace_ethnchs	race_ethnic		
vital	births	farace_nchsbrg	bridge_race		
vital	births	filler10			
vital	births	filler14			
vital	births	filler15			
vital	births	filler16			
vital	births	filler17			
vital	births	filler7			
vital	births	filler8			
vital	births	filler9			
vital	births	gest_days		Total Gestation Duration in Days	Total Gestation Duration in Days (140-301)
vital	births	gest_est		Total Estimated Gestation Duration in Weeks	Total Estimated Gestation Duration in Weeks (20-43)
vital	births	gest_grp	gest_grp	Gestation Duration Group	
vital	births	gest_wks		Total Gestation Duration in Weeks	Total Gestation Duration in Weeks (20-43,99)
vital	births	incity	standard2_yesno		
vital	births	inf_chlam	standard4_yesno	Infant exposed to  chlamydia	A positive test for Chlamydia trachomatis.
vital	births	inf_cmv	standard4_yesno	Infant exposed to cytomegalvirus	A diagnosis of or positive test for Cytomegalovirus. * Applicable to fetal deaths only.
vital	births	inf_genherpes	standard4_yesno	Infant exposed to genital herpes	A diganosis or positive test for genital herpes
vital	births	inf_gonor	standard4_yesno	Infant exposed to gonorrhea	A positive test/culture for Neisseria gonorrhoeae.
vital	births	inf_hepb	standard4_yesno	Infant explosed to hepatitis B	A positive test for the hepatitis B virus.
vital	births	inf_hepc	standard4_yesno	Infant exposed to Hepatitis C	A positive test for the hepatitis C virus.
vital	births	inf_hivaids	standard4_yesno	Infant exposed to HIV/AIDS	A diganosis or positive test for HIV/AIDS
vital	births	inf_hospnum		Infant's Hospital Number	
vital	births	inf_hpv	standard4_yesno	Infant exposed to Human papilloma virus	A diganosis or positive test for HPV
vital	births	inf_liv	standard2_yesno	Infant Living	
vital	births	inf_none	standard4_yesno	Infant exposed to no infection	
vital	births	inf_oth	standard4_yesno	Infant exposed to other infection	A diganosis or positive test for other disease
vital	births	inf_othlit		Infant exposed to other infection (Literal)	
vital	births	inf_rubella	standard4_yesno	Infant exposed to rubella	A diganosis or positive test for rubella
vital	births	inf_syph	standard4_yesno	Infant exposed to syphillis	A positive test for Treponema pallidum.
vital	births	inf_toxo	standard4_yesno	Infant exposed to toxoplasmosis	A diagnosis of or positive test for Toxoplasma gondii. * Applicable to fetal deaths only.
vital	births	inf_trans	standard2_yesno	Infant transfused	Transfer status of the infant within 24 hours after delivery.
vital	births	inf_tuber	standard4_yesno	Infant exposed to tuberculosis	A diganosis or positive test for tuberculosis
vital	births	live_bthdead		Previous Live Births that died???	The total number of previous live born infants now dead.
vital	births	live_bthliv		Previous Live Births still living???	The total number of previous live born infants now living.
vital	births	lm_date		Last Menses Date	The date the mother's last normal menstrual period began. This item is used to compute the gestational age of the infant.
vital	births	lm_da		Last Menses Day (1-31)	
vital	births	lm_mo		Last Menses Month (1-12)	
vital	births	lm_yr		Last Menses Year (4-digit)	
vital	births	married_betw	standard2_yesno		
vital	births	match_certnum			
vital	births	md_forcepsattpt	standard2_yesno	Forceps used by MD	
vital	births	md_vaccumattpt	standard2_yesno	Vacuum extraction used by MD	
vital	births	mm_hyster	standard4_yesno	Maternal hysterotomy	Surgical removal of the uterus that was not planned before the admission. Includes an anticipated, but not definitively planned, hysterectomy.
vital	births	mm_icu	standard4_yesno	Maternal ICU admission	Any admission, planned or unplanned, of the mother to a facility or unit designated as providing intensive care.
vital	births	mm_none	standard4_yesno	Maternal morbidity (any illness)?	
vital	births	mm_perilac	standard4_yesno	Maternal perineum laceration	3 degree laceration extends completely through the perineal skin, vaginal mucosa, perineal body, and anal sphincter.  4 degree laceration is all of the above with extension through the rectal mucosa.
vital	births	mm_ruputerus	standard4_yesno	Maternal ruptured uterus	Tearing of the uterine wall.
vital	births	mm_trnsfusion	standard4_yesno	Maternal transfusion	Includes infusion of whole blood or packed red blood cells associated with labor and delivery.
vital	births	mm_unk	standard4_yesno	Maternal complication unknown	
vital	births	mm_unploper	standard4_yesno	Unplanned Maternal Operation	Any transfer of the mother back to a surgical area for an operative procedure that was not planned before the admission for delivery.  Excludes postpartum tubal ligations.
vital	births	mom_fnam		Mother's First Name	
vital	births	mom_mnam		Mother's Middle Name	
vital	births	maiden_n		Mother's Maiden Name	
vital	births	mom_snam		Mother's Surname	
vital	births	mom_xnam		Mother's Suffix	
vital	births	mom_address		Mother's Street Address	
vital	births	mom_apt		Mother's Apartment	
vital	births	mom_rci	city	Mother's Resident City	
vital	births	mom_rco	county	Mother's Resident County	
vital	births	mom_rst	state	Mother's Resident State	
vital	births	mom_rzip		Mother's Resident Zip	
vital	births	mom_bst	state	Mother's Birth State	
vital	births	mom_dob		Mother's Date of Birth	
vital	births	mom_ssn		Mother's Social Security Number	
vital	births	mom_age		Mother's Age	
vital	births	mom_age1	age_groups	Mother's Age Group	
vital	births	mom_hospnum		Mother's Hospital Number	
vital	births	mom_htft		Mother's Height in Feet	Mother's Height (Integer Feet Only)
vital	births	mom_htinch		Mother's Height in Inches	Mother's Height (Integer Inches Only)
vital	births	mom_amind	standard4_yesno	Mother is American Indian	
vital	births	mom_amindlit		Mother's American Indian Tribe	
vital	births	mom_asian	standard4_yesno	Mother is Asian	
vital	births	mom_asianlit		Mother is Other Asian (Literal)	
vital	births	mom_asianoth	standard4_yesno	Mother is Other Asian	
vital	births	mom_black	standard4_yesno	Mother is Black	
vital	births	mom_bus	business		
vital	births	mom_busines1	business		
vital	births	mom_chinese	standard4_yesno	Mother is Chinese	
vital	births	mom_cu	standard4_yesno	Mother is Cuban	
vital	births	mom_edu	education	Mother's Highest Education Level	
vital	births	mom_ethnic_nchs	ethnic_nchs		
vital	births	mom_ethoth	standard4_yesno		
vital	births	mom_ethothlit			
vital	births	mom_everm	standard2_yesno		
vital	births	mom_filipino	standard4_yesno	Mother is Filipino	
vital	births	mom_guam	standard4_yesno	Mother is Guamanian	
vital	births	mom_hawaiian	standard4_yesno	Mother is Hawaiian	
vital	births	mom_his	standard4_yesno	Mother is Hispanic	
vital	births	mom_japanese	standard4_yesno	Mother is Japanese	
vital	births	mom_korean	standard4_yesno	Mother is Korean	
vital	births	mom_mex	standard4_yesno	Mother is Mexican	
vital	births	mom_occ	occ		
vital	births	mom_occup1	occup		
vital	births	mom_pacisl	standard4_yesno	Mother is Pacific Islander	
vital	births	mom_pacisllit		Mother is Pacific Islander (Literal)	
vital	births	mom_pr	standard4_yesno	Mother is Puerto Rican	
vital	births	mom_race1			
vital	births	mom_race16			
vital	births	mom_race18			
vital	births	mom_race2			
vital	births	mom_race20			
vital	births	mom_race22			
vital	births	mom_race3			
vital	births	mom_race4			
vital	births	mom_race5			
vital	births	mom_race6			
vital	births	mom_race7			
vital	births	mom_race8			
vital	births	mom_raceoth	standard4_yesno		
vital	births	mom_raceothlit			
vital	births	mom_raceref	standard4_yesno		
vital	births	mom_raceunk	standard4_yesno		
vital	births	mom_samoan	standard4_yesno	Mother is Samoan	
vital	births	mom_trans	standard2_yesno	Mother Transferred???	Transfers include hospital to hospital, birth facility to hospital, etc. Does not include home to hospital.
vital	births	mom_vietnamese	standard4_yesno	Mother is Vietnamese	
vital	births	mom_white	standard4_yesno	Mother is White	
vital	births	momhisp_nchs	hisp_nchs		
vital	births	momrace_ethnchs	race_ethnic		
vital	births	momrace_nchsbrg	bridge_race		
vital	births	mpv_cal			
vital	births	mpv_days_cal			
vital	births	mres_city_fips			
vital	births	mres_cntry_fips			
vital	births	mres_cnty_fips			
vital	births	mres_st_fips			
vital	births	mrf_anemia	standard4_yesno	Anemia (Hct. <30/Hgb.<10)	
vital	births	mrf_assistrep	standard4_yesno	Maternal assisted reproduction	Any assisted reproductive technology (ART/technical procedures (e.g., IVF, GIFT, ZIFT)) used to initiate the pregnancy.
vital	births	mrf_cardiac	standard4_yesno	Cardiac Disease	
vital	births	mrf_eclampsia	standard4_yesno	Eclampsia	Hypertension with proteinuria with generalized seizures or coma. May include pathologic edema.
vital	births	mrf_gestdiab	standard4_yesno	Diabetes	
vital	births	mrf_hemoglob	standard4_yesno	Hemoglobinopathy	
vital	births	mrf_hydra	standard4_yesno	Hydramnios/Oligogydramnios	
vital	births	mrf_hypergest	standard4_yesno	Hypertension, Pregnancy Associated	Gestational Diagnosis in this pregnancy (Pregnancy induced hypertension, preeclampsia).
vital	births	mrf_hypert	standard4_yesno	Hypertension	Elevation of blood pressure above normal for age, gender, and physiological condition.
vital	births	mrf_hypertchr	standard4_yesno	Hypertension, Chronic	Prepregnancy (chronic) Diagnosis prior to the onset of this pregnancy-does not include gestational (pregnancy induced hypertension (PIH)
vital	births	mrf_incompcerv	standard4_yesno	Incompetent Cervix	
vital	births	mrf_infdrugs	standard4_yesno	Infertility Drugs???	Any fertility enhancing drugs (e.g., Clomid, Pergonal), artificial insemination or intrauterine insemination used to initiate the pregnancy
vital	births	mrf_inftreat	standard4_yesno	Infertility Treatment???	Any assisted reproductive treatment used to initiate the pregnancy. Includes: - Drugs (such as Clomid, Pergonal) - Artificial insemination - Technical procedures (
vital	births	mrf_lungdis	standard4_yesno	Lung Disease?	
vital	births	mrf_none	standard4_yesno	No Medical Risk Factors	
vital	births	mrf_oth	standard4_yesno	Other Medical Risk Factors	
vital	births	mrf_othlit		Other Medical Risk Factors (Literal)	
vital	births	mrf_poorout	standard4_yesno	Other Previous Poor Pregnancy Outcome	History of pregnancies continuing into the 20th week of gestation and resulting in any of the listed outcomes: - Perinatal death (including fetal and neonatal deaths) - Small for gestational age - Intrauterine-growth-restricted birth
vital	births	mrf_prediab	standard4_yesno	Pre-diabetes	
vital	births	mrf_prev4000	standard4_yesno	Previous Infant 4,000+ Gram	
vital	births	mrf_prevces	standard4_yesno	Previous Caesarian section	
vital	births	mrf_prevcesnum		Previous C-section number	
vital	births	mrf_prevpreterm	standard4_yesno	Previous Preterm or Small for Gestational Age	History of pregnancy(ies) terminating in a live birth of less than 37 completed weeks of gestation.
vital	births	mrf_renaldis	standard4_yesno	Renal Disease	
vital	births	mrf_rhsensit	standard4_yesno	Rh Sensitization	
vital	births	mrf_utbleed	standard4_yesno	Uterine Bleeding	
vital	births	ob_amnio	standard4_yesno	Amniocentesis	
vital	births	ob_cephfail	standard4_yesno		
vital	births	ob_cephsucess	standard4_yesno		
vital	births	ob_cercl	standard4_yesno	Cervical Cerclage	Circumferential banding or suture of the cervix to prevent or treat passive dilation. Includes: MacDonald's suture, Shirodkar procedure, abdominal cerclage via laparotomy
vital	births	ob_fetalmon	standard4_yesno	Electronic Fetal Monitoring	
vital	births	ob_none	standard4_yesno	No Obstetric Procedures	
vital	births	ob_oth	standard4_yesno	Other Obstetric Procedures	
vital	births	ob_othlit		Other Obstetric Procedures (Literal)	
vital	births	ob_toco	standard4_yesno	Tocolysis	Administration of any agent with the intent to inhibit preterm uterine contractions to extend the length of the pregnancy. Medications: - Magnesium sulfate (for preterm labor) - Terbutaline - Indocin (for preterm labor)
vital	births	ob_ultrasnd	standard4_yesno	Ultrasound	
vital	births	ol_none	standard4_yesno	No Onset of Labor Issues	
vital	births	ol_preciplbr	standard4_yesno	Precipitous labor	Less than 3 hours
vital	births	ol_prerom	standard4_yesno	premature rupture of membranes	Prolonged, greater than or equal to 12 hours before the onset of labor.
vital	births	ol_prolonglbr	standard4_yesno	prolonged labor defined as >XXX hours	Greater than or equal to 20 hours.
vital	births	pat_complete	standard3_yesno		
vital	births	place	place	Delivery site	The type of place where the birth occurred; Hospital, Freestanding birthing center -  No direct physical connection with an operative delivery center, Home birth -  The birth occurred at a private residence, Clinic/Doctor's office, Other.
vital	births	plurality		Number of Fetuses Delivered During This Pregnancy	The number of fetuses delivered live or dead at any time in the pregnancy regardless of gestational age, or if the fetuses were delivered at different dates in the pregnancy. 'Reabsorbed' fetuses (those that are not delivered: expulsed or extracted from the mother) should not be counted.
vital	births	pre_begin		Prenatal Care Begin Date	The date a physician or other health care professional first examined and/or counseled the pregnant woman for the pregnancy.
vital	births	pre_begda		Prenatal Care Begin Day (1-31)	
vital	births	pre_begmo		Prenatal Care Begin Month (1-12)	
vital	births	pre_begyr		Prenatal Care Begin Year (4-digit)	
vital	births	pre_end		Prenatal Care End Date	The month, day, and year of the last prenatal care visit recorded in the records.
vital	births	pre_endda		Prenatal Care End Day (1-31)	
vital	births	pre_endmo		Prenatal Care End Month (1-12)	
vital	births	pre_endyr		Prenatal Care End Year (4-digit)	
vital	births	prenatal	standard2_yesno	Did mother have prenatal visits?	
vital	births	prv_livebth		Previous Live Birth Count	
vital	births	prv_livebthdte		Previous Live Birth Date	The date of birth of the last liveborn infant.
vital	births	prv_term			
vital	births	pv_trims_cal			
vital	births	reg_date		Registration Date???	
vital	births	reg_da		Registration Day (1-31)???	
vital	births	reg_mo		Registration Month (1-12)???	
vital	births	reg_yr		Registration Year (4-digit)???	
vital	births	source_pay	source_pay	Principal source of payment	The principal source of payment at the time of delivery.
vital	births	term_dte			
vital	births	tobacco	standard2_yesno	Tobacco Use	
vital	births	cig_pck	cig_pck		
vital	births	prepreg_cig			
vital	births	prepreg_pck			
vital	births	first_cig			
vital	births	first_pck			
vital	births	sec_cig			
vital	births	sec_pck			
vital	births	sex	sex	Child's Sex	The sex of the infant.
vital	births	last_cig			
vital	births	last_pck			
